City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,happy valley-goose bay,53.3168,-60.3315,13.17,100,100,1.54,CA,1719747627
278,yeppoon,-23.1333,150.7333,21.25,87,19,2.8,AU,1719747629
279,rusera,25.75,86.0333,29.82,74,100,1.2,IN,1719747631
280,peniche,39.3558,-9.3811,20.06,88,99,3.5,PT,1719747633
281,atafu village,-8.5421,-172.5159,28.28,78,53,7.96,TK,1719747635
282,abepura,-2.6333,140.5833,23.45,100,40,1.54,ID,1719747637
283,port lavaca,28.615,-96.6261,27.81,94,0,2.06,US,1719747639
284,yugorsk,61.3133,63.3319,22.6,40,93,3.72,RU,1719747641
285,tomatlan,19.9333,-105.25,24.18,89,100,0.56,MX,1719747643
286,jhargram,22.45,86.9833,27.56,93,100,4.81,IN,1719747645
287,la ronge,55.1001,-105.2842,12.14,71,20,2.57,CA,1719747647
288,codrington,-38.2667,141.9667,9.49,71,100,4.41,AU,1719747649
289,nova vicosa,-17.8919,-39.3719,24.79,65,31,0.47,BR,1719747651
290,bryne,58.7354,5.6477,13.88,85,40,4.12,NO,1719747653
291,mokrous,51.2333,47.5167,26.04,28,47,4.62,RU,1719747655
292,antofagasta,-23.65,-70.4,12.6,64,35,1.54,CL,1719747364
293,gornopravdinsk,60.05,69.9,14.25,77,99,0.41,RU,1719747658
294,rio preto da eva,-2.6994,-59.6997,27.33,68,8,0.69,BR,1719747660
295,tamandare,-8.7597,-35.1047,24.95,76,72,2.09,BR,1719747663
296,pisco,-13.7,-76.2167,16.03,88,100,1.03,PE,1719747665
297,leer,53.2316,7.461,21.67,71,100,0.45,DE,1719747667
298,scottsburg,38.6856,-85.7702,25.89,62,19,1.34,US,1719747668
299,szczebrzeszyn,50.695,22.9795,31.71,41,12,5.19,PL,1719747670
300,holualoa,19.6228,-155.9522,21.91,93,0,2.06,US,1719747672
301,pucheng,27.9233,118.5333,25.09,95,100,1.12,CN,1719747674
302,guangyuan,32.442,105.823,27.15,72,100,5.41,CN,1719747675
303,luderitz,-26.6481,15.1594,16.6,71,27,4.12,NA,1719747677
304,wamba,8.9333,8.6,31.17,55,18,2.63,NG,1719747679
305,al muwayh,22.4333,41.7583,40.64,6,26,8.45,SA,1719747681
306,sitka,57.0531,-135.33,12.94,88,100,2.06,US,1719747685
307,shancheng,34.7953,116.0817,23.99,85,77,7.1,CN,1719747687
308,tweed heads,-28.1817,153.547,21.23,94,100,2.06,AU,1719747688
309,edson,53.5835,-116.4356,9.08,93,0,2.57,CA,1719747690
310,virginia beach,36.8529,-75.978,27.81,91,20,5.66,US,1719747692
311,chai nat,15.1167,100.1,30.59,99,100,3.8,TH,1719747693
312,nykvarn,59.8,18.3,17.99,63,92,1.29,SE,1719747695
313,caconda,-13.7333,15.0667,25.88,17,0,2.25,AO,1719747697
314,weno,7.4515,151.8468,28.82,78,33,5.84,FM,1719747699
315,karratha,-20.7377,116.8463,21.93,38,0,3.0,AU,1719747701
316,teknaf,20.8624,92.3058,28.04,85,100,7.28,BD,1719747702
317,douentza,14.9951,-2.9517,37.47,32,34,4.61,ML,1719747704
318,urumqi,43.801,87.6005,28.53,35,0,4.0,CN,1719747706
319,berdigestyakh,62.0989,126.6992,18.33,92,100,3.09,RU,1719747708
320,tekeli,44.83,78.8239,18.09,84,100,3.75,KZ,1719747710
321,chibougamau,49.9168,-74.3659,12.79,94,100,4.12,CA,1719747712
322,saipan,15.1355,145.701,28.39,83,20,6.17,MP,1719747713
323,severo-yeniseyskiy,60.3725,93.0408,25.82,51,16,7.93,RU,1719747715
324,kandyagash,49.4744,57.4233,15.58,59,100,7.82,KZ,1719747717
325,santa elena de uairen,4.6167,-61.1333,22.06,71,31,0.53,VE,1719747719
326,mariental,-24.6333,17.9667,25.59,16,0,8.67,NA,1719747720
327,tura,25.5198,90.2201,25.67,95,100,3.33,IN,1719747722
328,raja,8.4596,25.678,32.36,42,100,1.63,SS,1719747724
329,melekeok village,7.4957,134.6367,27.31,89,100,3.09,PW,1719747726
330,road town,18.4167,-64.6167,29.02,79,75,4.12,VG,1719747727
331,lamu,-2.2717,40.902,26.94,70,42,7.44,KE,1719747729
332,temuco,-38.7333,-72.6,1.87,82,92,1.83,CL,1719747731
333,thief river falls,48.1191,-96.1812,7.53,100,0,0.0,US,1719747733
334,coeur d'alene,47.6777,-116.7805,17.74,84,40,3.09,US,1719747473
335,ilam,26.9167,87.9167,25.15,92,91,1.08,NP,1719747736
336,vilyuysk,63.7553,121.6247,19.15,66,65,1.96,RU,1719747738
337,skhira,34.2992,10.07,34.82,50,4,6.21,TN,1719747740
338,kakching,24.4833,93.9833,27.88,95,100,0.83,IN,1719747741
339,sao joao da barra,-21.6403,-41.0511,22.05,86,100,6.23,BR,1719747743
340,guerrero negro,27.9769,-114.0611,17.64,89,71,3.73,MX,1719747745
341,mejit,10.2753,170.8646,27.84,79,100,7.19,MH,1719747747
342,haiku-pauwela,20.9219,-156.3051,21.81,69,6,2.68,US,1719747748
343,al jawf,29.5,38.75,38.22,12,0,3.64,SA,1719747750
344,namsos,64.4662,11.4957,17.95,42,40,3.09,NO,1719747752
345,nabire,-3.3667,135.4833,24.85,92,100,0.73,ID,1719747754
346,biltine,14.5333,20.9167,33.31,40,100,5.63,TD,1719747756
347,priozersk,61.0393,30.1291,25.0,49,83,2.68,RU,1719747758
348,lenger,42.183,69.8839,31.69,20,4,6.11,KZ,1719747760
349,ghat,24.9647,10.1728,40.71,7,3,6.89,LY,1719747762
350,saint-denis,48.9167,2.3333,23.36,58,100,3.6,FR,1719747764
351,hovd,48.0056,91.6419,29.96,21,71,2.92,MN,1719747766
352,kasongo-lunda,-6.4667,16.8167,35.82,19,58,0.36,CD,1719747768
353,monforte de lemos,42.5216,-7.5142,23.09,62,81,1.77,ES,1719747771
354,alexandria,31.2156,29.9553,30.3,67,48,5.99,EG,1719747773
355,naze,28.3667,129.4833,26.51,86,100,5.42,JP,1719747775
356,nam dinh,20.4167,106.1667,31.09,70,100,5.71,VN,1719747777
357,jijiga,9.35,42.8,27.07,38,20,7.78,ET,1719747779
358,erdenet,49.0333,104.0833,20.63,60,20,2.13,MN,1719747781
359,ambon,-3.6954,128.1814,27.71,95,75,2.06,ID,1719747782
360,kingston,17.997,-76.7936,26.76,74,34,3.09,JM,1719747784
361,twon-brass,4.3151,6.2418,27.48,78,98,5.85,NG,1719747786
